id,price,raw_price_text,product_name,slug,merchant_name,price_type
120065,172.9,"172.90 DH","Klorane Mask with Mango Butter masque pour cheveux Femmes 150 ml",klorane-mask-with-mango-butter-masque-pour-cheveux-femmes-150-ml,"Para La Gloire",has_dot
119516,172.92,"172.92 DH","Bioderma Sébium Gel Moussant 200 ml",bioderma-sebium-gel-moussant-200-ml,"AtelierPara Maroc",has_dot
121423,173.25,"173.25 DH","Flash 5 Ampoules 10ml The Originals Martiderm",flash-5-ampoules-10ml-the-originals-martiderm,"UNIVERS PARADISCOUNT Maroc",has_dot
121481,173.25,"173.25 DH","Sérum effet lifting 5 ampoules x 2ml Instant Flash Effet lifting immédiat Isdin",serum-effet-lifting-5-ampoules-x-2ml-instant-flash-effet-lifting-immediat-isdin,"UNIVERS PARADISCOUNT Maroc",has_dot
121804,173.25,"173.25 DH","Sesderma Repaskin 200 ml",sesderma-repaskin-200-ml,"UNIVERS PARADISCOUNT Maroc",has_dot
122233,173.25,"173.25 DH","Mascara Noir Fortifiant Anp2+ 7ml Ecrinal",mascara-noir-fortifiant-anp2-7ml-ecrinal,"AtelierPara Maroc",has_dot
122237,173.26,"173.26 DH","Gel Anp2+ Fortifiant Cils Et Sourcils 9ml Ecrinal",gel-anp2-fortifiant-cils-et-sourcils-9ml-ecrinal,"AtelierPara Maroc",has_dot
119517,173.66,"173.66 DH","Bioderma Sébium Gel Moussant 200 ml",bioderma-sebium-gel-moussant-200-ml,"Para La Gloire",has_dot
144477,173.7,"173.70 DH","Shampooing Fixateur De Couleur Resveratrol Vitamino Color 300ml L'Oréal Professionnel",shampooing-fixateur-de-couleur-resveratrol-vitamino-color-300ml-l-oreal-professionnel,"AtelierPara Maroc",has_dot
117741,173.81,"173.81 DH","Logitech M220 SILENT souris Ambidextre RF sans fil Optique 1000 DPI",logitech-m220-silent-souris-ambidextre-rf-sans-fil-optique-1000-dpi,Technoplace,has_dot
119033,173.85,"173.85 DH","Vichy Dercos Densi Solutions 200 ml",vichy-dercos-densi-solutions-200-ml,"New Era Parapharmacie",has_dot
120081,173.85,"173.85 DH","Masque Kera Solutions 200ml Dercos Vichy",masque-kera-solutions-200ml-dercos-vichy,"New Era Parapharmacie",has_dot
119186,174.24,"174.24 DH","Biokera Freh Violet Shot Shampooing 300ml",biokera-freh-violet-shot-shampooing-300ml,"New Era Parapharmacie",has_dot
121122,174.25,"174.25 DH","Uriage Eau Thermale Silky Body Lotion 500 ml",uriage-eau-thermale-silky-body-lotion-500-ml,"New Era Parapharmacie",has_dot
121475,174.25,"174.25 DH","Cica Daily Gel-Crème peaux fragilisées 40ml Bariederm Cica Uriage",cica-daily-gel-creme-peaux-fragilisees-40ml-bariederm-cica-uriage,"New Era Parapharmacie",has_dot
121404,174.5,"174.50 DH","Soin Apaisant Riche peaux intolérantes et allergiques 40ml Tolederm Uriage",soin-apaisant-riche-peaux-intolerantes-et-allergiques-40ml-tolederm-uriage,"GoPara Maroc",has_dot
121476,174.58,"174.58 DH","Cica Daily Gel-Crème peaux fragilisées 40ml Bariederm Cica Uriage",cica-daily-gel-creme-peaux-fragilisees-40ml-bariederm-cica-uriage,"GoPara Maroc",has_dot
121123,174.64,"174.64 DH","Uriage Eau Thermale Silky Body Lotion 500 ml",uriage-eau-thermale-silky-body-lotion-500-ml,"GoPara Maroc",has_dot
121070,174.85,"174.85 DH","Baume Ultra-Reparateur Apaisant B5+ 100ml Cicaplast La Roche-Posay",baume-ultra-reparateur-apaisant-b5-100ml-cicaplast-la-roche-posay,COTEPARA,has_dot
144475,174.96,"174.96 DH","Absolut Repair Gold Shampooing Restructurant Serie Expert 300ml L'Oréal Professionnel",absolut-repair-gold-shampooing-restructurant-serie-expert-300ml-l-oreal-professionnel,"AtelierPara Maroc",has_dot
121543,175.1,"175.10 DH","M Ecran Solaire Spf50+ Invisible 40ml Depiwhite Acm",m-ecran-solaire-spf50-invisible-40ml-depiwhite-acm,"GoPara Maroc",has_dot
121544,175.1,"175.10 DH","M Ecran Solaire Spf50+ Invisible 40ml Depiwhite Acm",m-ecran-solaire-spf50-invisible-40ml-depiwhite-acm,"New Era Parapharmacie",has_dot
119438,175.12,"175.12 DH","Covermark Removing Cream Crème Démaquillante 200 ml",covermark-removing-cream-creme-demaquillante-200-ml,"New Era Parapharmacie",has_dot
121976,175.13,"175.13 DH","Creme Hydratante Riche Peaux Seches 50ml Aquaporin Active Eucerin",creme-hydratante-riche-peaux-seches-50ml-aquaporin-active-eucerin,"New Era Parapharmacie",has_dot
121830,175.5,"175.50 DH","SVR Sun Secure Blur Crème Mousse Flouteur Optique SPF50 50 ml",svr-sun-secure-blur-creme-mousse-flouteur-optique-spf50-50-ml,"Para La Gloire",has_dot
143914,175.5,"175.50 DH","Coloration Crème n° 03 Châtain foncé - Beliflor",coloration-creme-ndeg-03-chatain-fonce-beliflor,"UNIVERS PARADISCOUNT Maroc",has_dot
